iso_code,vaccine_name
ROU,Oxford/AstraZeneca
ROU,Pfizer/BioNTech
RUS,EpiVacCorona
RUS,Sputnik V
RWA,Johnson&Johnson
RWA,Moderna
RWA,Oxford/AstraZeneca
RWA,Pfizer/BioNTech
RWA,Sinopharm/Beijing
RWA,Sinovac
RWA,Sputnik V
SHN,Oxford/AstraZeneca
KNA,Oxford/AstraZeneca
KNA,Pfizer/BioNTech
LCA,Johnson&Johnson
LCA,Moderna
LCA,Oxford/AstraZeneca
LCA,Pfizer/BioNTech
VCT,Oxford/AstraZeneca
VCT,Pfizer/BioNTech
VCT,Sputnik Light
VCT,Sputnik V
WSM,Oxford/AstraZeneca
SMR,Pfizer/BioNTech
SMR,Sputnik V
STP,Oxford/AstraZeneca
SAU,Oxford/AstraZeneca
SAU,Pfizer/BioNTech
OWID_SCT,Moderna
OWID_SCT,Oxford/AstraZeneca
OWID_SCT,Pfizer/BioNTech
SEN,Johnson&Johnson
SEN,Oxford/AstraZeneca
SEN,Sinopharm/Beijing
SRB,Oxford/AstraZeneca
SRB,Pfizer/BioNTech
SRB,Sinopharm/Beijing
SRB,Sputnik V
SYC,Oxford/AstraZeneca
SYC,Sinopharm/Beijing
SYC,Sputnik V
SLE,Oxford/AstraZeneca
SLE,Sinopharm/Beijing
SGP,Moderna
SGP,Novavax
SGP,Pfizer/BioNTech
SGP,Sinopharm/Beijing
SGP,Sinovac
SXM,Moderna
SXM,Oxford/AstraZeneca
SXM,Pfizer/BioNTech
SVK,Johnson&Johnson
SVK,Moderna
SVK,Novavax
SVK,Oxford/AstraZeneca
SVK,Pfizer/BioNTech
SVK,Sputnik V
SVN,Johnson&Johnson
SVN,Moderna
SVN,Novavax
SVN,Oxford/AstraZeneca
SVN,Pfizer/BioNTech
SLB,Oxford/AstraZeneca
SOM,CanSino
SOM,Covaxin
SOM,Johnson&Johnson
SOM,Moderna
SOM,Oxford/AstraZeneca
SOM,Pfizer/BioNTech
SOM,Sinopharm/Beijing
SOM,Sinovac
SOM,Sputnik Light
SOM,Sputnik V
ZAF,Johnson&Johnson
ZAF,Pfizer/BioNTech
KOR,Johnson&Johnson
KOR,Moderna
KOR,Novavax
KOR,Oxford/AstraZeneca
KOR,Pfizer/BioNTech
SSD,Johnson&Johnson
SSD,Oxford/AstraZeneca
ESP,Johnson&Johnson
ESP,Moderna
ESP,Oxford/AstraZeneca
ESP,Pfizer/BioNTech
LKA,Moderna
LKA,Oxford/AstraZeneca
LKA,Pfizer/BioNTech
LKA,Sinopharm/Beijing
LKA,Sputnik V
SDN,CanSino
SDN,Covaxin
SDN,Johnson&Johnson
SDN,Moderna
SDN,Oxford/AstraZeneca
SDN,Pfizer/BioNTech
SDN,Sinopharm/Beijing
SDN,Sinovac
SDN,Sputnik Light
SDN,Sputnik V
SUR,Oxford/AstraZeneca
SUR,Pfizer/BioNTech
SUR,Sinopharm/Beijing
SWE,Moderna
SWE,Novavax
SWE,Oxford/AstraZeneca
SWE,Pfizer/BioNTech
CHE,Johnson&Johnson
CHE,Moderna
CHE,Novavax
CHE,Pfizer/BioNTech
SYR,CanSino
SYR,Covaxin
SYR,Johnson&Johnson
SYR,Moderna
SYR,Oxford/AstraZeneca
SYR,Pfizer/BioNTech
SYR,Sinopharm/Beijing
SYR,Sinovac
SYR,Sputnik Light
SYR,Sputnik V
TWN,Medigen
TWN,Moderna
TWN,Novavax
TWN,Oxford/AstraZeneca
TWN,Pfizer/BioNTech
TJK,Moderna
TJK,Oxford/AstraZeneca
TJK,Pfizer/BioNTech
TJK,Sinovac
TJK,Sputnik V
TZA,Johnson&Johnson
TZA,Pfizer/BioNTech
TZA,Sinopharm/Beijing
THA,Moderna
THA,Oxford/AstraZeneca
THA,Pfizer/BioNTech
THA,Sinopharm/Beijing
THA,Sinovac
TLS,Oxford/AstraZeneca
TLS,Pfizer/BioNTech
TLS,Sinovac
TGO,Oxford/AstraZeneca
TKL,Pfizer/BioNTech
TON,Oxford/AstraZeneca
TTO,Johnson&Johnson
TTO,Oxford/AstraZeneca
TTO,Pfizer/BioNTech
TTO,Sinopharm/Beijing
TUN,CanSino
TUN,Covaxin
TUN,Johnson&Johnson
TUN,Moderna
TUN,Oxford/AstraZeneca
TUN,Pfizer/BioNTech
TUN,Sinopharm/Beijing
TUN,Sinovac
TUN,Sputnik Light
TUN,Sputnik V
TUR,Pfizer/BioNTech
TUR,Sinovac
TUR,Turkovac
TKM,EpiVacCorona
TKM,Oxford/AstraZeneca
TKM,QazVac
TKM,Sinopharm/Beijing
TKM,Sputnik V
TKM,ZF2001
TCA,Pfizer/BioNTech
TUV,Oxford/AstraZeneca
UGA,Johnson&Johnson
UGA,Moderna
UGA,Oxford/AstraZeneca
UGA,Pfizer/BioNTech
UGA,Sinovac
UKR,Johnson&Johnson
UKR,Moderna
UKR,Oxford/AstraZeneca
UKR,Pfizer/BioNTech
UKR,Sinovac
ARE,CanSino
ARE,Covaxin
ARE,Johnson&Johnson
ARE,Moderna
ARE,Oxford/AstraZeneca
ARE,Pfizer/BioNTech
ARE,Sinopharm/Beijing
ARE,Sinovac
ARE,Sputnik Light
ARE,Sputnik V
GBR,Moderna
GBR,Oxford/AstraZeneca
GBR,Pfizer/BioNTech
USA,Johnson&Johnson
USA,Moderna
USA,Novavax
USA,Pfizer/BioNTech
URY,Oxford/AstraZeneca
URY,Pfizer/BioNTech
URY,Sinovac
UZB,Johnson&Johnson
UZB,Moderna
UZB,Oxford/AstraZeneca
UZB,Pfizer/BioNTech
UZB,Sinovac
UZB,Sputnik Light
UZB,Sputnik V
